E_left,E_right,sel_left,sel_right,optset_left,optset_right,Qg_left,Qs_left,Ql_left,Qg_right,Qs_right,Ql_right,g_rel_left,g_rel_right,kind
1280,1281,草,小物,草小,小,984.659056446,984.659056446,817.941847564,984.721116171,984.722228437,817.963678970,9.236646e-16,1.129523e-06,tie
1291,1292,小物,草,小,草小,985.095128973,985.095136557,817.982121523,985.105238832,985.105238832,817.982269490,7.698693e-09,9.232462e-16,tie
1300,1301,草,小物,草小,小,985.412066801,985.412066801,817.990533488,985.475450224,985.476366802,818.009716762,8.075889e-16,9.300865e-07,tie
1311,1312,小物,草,小,草小,985.830578164,985.830584412,818.026058850,985.839963133,985.839963133,818.026191487,6.337991e-09,8.072384e-16,tie
1320,1321,草,小物,草小,小,986.125037650,986.125037650,818.033533224,986.192534597,986.193289840,818.050391300,8.070050e-16,7.658160e-07,tie
1331,1332,小物,草,小,草小,986.539035136,986.539040283,818.064877135,986.548022377,986.548022377,818.064996063,5.217028e-09,6.914220e-16,tie
1340,1341,草,小物,草小,小,986.826125088,986.826125088,818.071518642,986.895850934,986.896473174,818.086336253,6.912272e-16,6.305018e-07,tie
1351,1352,小物,草,小,草小,987.226088173,987.226092412,818.099180076,987.234698008,987.234698008,818.099286725,4.293863e-09,5.757842e-16,tie
1360,1361,草,小物,草小,小,987.499991305,987.499991305,818.105085491,987.557957531,987.558470176,818.118110969,4.605037e-16,5.191036e-07,tie
1371,1372,小物,草,小,草小,987.896007519,987.896011010,818.129501303,987.904251752,987.904251752,818.129596972,3.534136e-09,3.452364e-16,tie
1380,1381,草,小物,草小,小,988.152951792,988.152951792,818.134752203,988.209157290,988.209579676,818.146204728,4.601994e-16,4.274256e-07,tie
1391,1392,小物,草,小,草小,988.528875347,988.528878223,818.156309946,988.536696626,988.536696626,818.156395778,2.909278e-09,2.300104e-16,tie
1400,1401,草,小物,草小,小,988.788781650,988.788781650,818.160980773,988.832254781,988.832602820,818.171052076,1.149759e-16,3.519695e-07,tie
1411,1412,小物,草,小,草小,989.148290893,989.148293263,818.180019294,989.155713156,989.155713156,818.180096322,2.395087e-09,2.298664e-16,tie
1420,1421,草,小物,草小,小,989.387907301,989.387907301,818.184175387,989.435410220,989.435696997,818.193033471,2.298125e-16,2.898391e-07,tie
1431,1432,小物,草,小,草小,989.726299671,989.726301623,818.200994027,989.733526916,989.733526916,818.201063168,1.971801e-09,2.297322e-16,tie
1440,1441,草,小物,草小,小,989.974011782,989.974011782,818.204692451,990.021483634,990.021719922,818.212485019,2.296764e-16,2.386699e-07,tie
1451,1452,小物,草,小,草小,990.294670191,990.294671799,818.219553538,990.301255845,990.301255845,818.219615613,1.623227e-09,2.296005e-16,tie
1460,1461,草,小物,草小,小,990.519036985,990.519036985,818.222846600,990.571731909,990.571926590,818.229702843,1.147750e-16,1.965338e-07,tie
1471,1472,小物,草,小,草小,990.834560871,990.834562195,818.235981482,990.840795471,990.840795471,818.236037228,1.336260e-09,1.147377e-16,tie
1480,1481,草,小物,草小,小,991.054725731,991.054725731,818.238913964,991.109841321,991.110001722,818.244947737,2.294260e-16,1.618400e-07,tie
1491,1492,小物,草,小,草小,991.356800027,991.356801117,818.250526419,991.362726442,991.362726442,818.250576490,1.100070e-09,2.293547e-16,tie
